id,X,Y
"4982",-6.3605580000,24.0749970000
"4983",-5.8605580000,24.0749970000
"4984",-5.3605580000,24.0749970000
"4985",-4.8605580000,24.0749970000
"4986",-4.3605580000,24.0749970000
"4987",-3.8605580000,24.0749970000
"4988",-3.3605580000,24.0749970000
"5177",-11.8605580000,23.5749970000
"5178",-11.3605580000,23.5749970000
"5179",-10.8605580000,23.5749970000
"5180",-10.3605580000,23.5749970000
"5181",-9.8605580000,23.5749970000
"5182",-9.3605580000,23.5749970000
"5183",-8.8605580000,23.5749970000
"5184",-8.3605580000,23.5749970000
"5185",-7.8605580000,23.5749970000
"5186",-7.3605580000,23.5749970000
"5187",-6.8605580000,23.5749970000
"5188",-6.3605580000,23.5749970000
"5189",-5.8605580000,23.5749970000
"5190",-5.3605580000,23.5749970000
"5191",-4.8605580000,23.5749970000
"5192",-4.3605580000,23.5749970000
"5193",-3.8605580000,23.5749970000
"5194",-3.3605580000,23.5749970000
"5195",-2.8605580000,23.5749970000
"5381",-12.8605580000,23.0749970000
"5382",-12.3605580000,23.0749970000
"5383",-11.8605580000,23.0749970000
"5384",-11.3605580000,23.0749970000
"5385",-10.8605580000,23.0749970000
"5386",-10.3605580000,23.0749970000
"5387",-9.8605580000,23.0749970000
"5388",-9.3605580000,23.0749970000
"5389",-8.8605580000,23.0749970000
"5390",-8.3605580000,23.0749970000
"5391",-7.8605580000,23.0749970000
"5392",-7.3605580000,23.0749970000
"5393",-6.8605580000,23.0749970000
"5394",-6.3605580000,23.0749970000
"5395",-5.8605580000,23.0749970000
"5396",-5.3605580000,23.0749970000
"5397",-4.8605580000,23.0749970000
"5398",-4.3605580000,23.0749970000
"5399",-3.8605580000,23.0749970000
"5400",-3.3605580000,23.0749970000
"5401",-2.8605580000,23.0749970000
"5402",-2.3605580000,23.0749970000
"5403",-1.8605580000,23.0749970000
"5430",11.6394420000,23.0749970000
"5431",12.1394420000,23.0749970000
"5432",12.6394420000,23.0749970000
"5433",13.1394420000,23.0749970000
"5434",13.6394420000,23.0749970000
"5438",15.6394420000,23.0749970000
"5439",16.1394420000,23.0749970000
"5440",16.6394420000,23.0749970000
"5587",-12.8605580000,22.5749970000
"5588",-12.3605580000,22.5749970000
"5589",-11.8605580000,22.5749970000
"5590",-11.3605580000,22.5749970000
"5591",-10.8605580000,22.5749970000
"5592",-10.3605580000,22.5749970000
"5593",-9.8605580000,22.5749970000
"5594",-9.3605580000,22.5749970000
"5595",-8.8605580000,22.5749970000
"5596",-8.3605580000,22.5749970000
"5597",-7.8605580000,22.5749970000
"5598",-7.3605580000,22.5749970000
"5599",-6.8605580000,22.5749970000
"5600",-6.3605580000,22.5749970000
"5601",-5.8605580000,22.5749970000
"5602",-5.3605580000,22.5749970000
"5603",-4.8605580000,22.5749970000
"5604",-4.3605580000,22.5749970000
"5605",-3.8605580000,22.5749970000
"5606",-3.3605580000,22.5749970000
"5607",-2.8605580000,22.5749970000
"5608",-2.3605580000,22.5749970000
"5609",-1.8605580000,22.5749970000
"5610",-1.3605580000,22.5749970000
"5634",10.6394420000,22.5749970000
"5635",11.1394420000,22.5749970000
"5636",11.6394420000,22.5749970000
"5637",12.1394420000,22.5749970000
"5638",12.6394420000,22.5749970000
"5639",13.1394420000,22.5749970000
"5640",13.6394420000,22.5749970000
"5641",14.1394420000,22.5749970000
"5642",14.6394420000,22.5749970000
"5643",15.1394420000,22.5749970000
"5644",15.6394420000,22.5749970000
"5645",16.1394420000,22.5749970000
"5646",16.6394420000,22.5749970000
"5647",17.1394420000,22.5749970000
"5648",17.6394420000,22.5749970000
"5793",-12.8605580000,22.0749970000
"5794",-12.3605580000,22.0749970000
"5795",-11.8605580000,22.0749970000
"5796",-11.3605580000,22.0749970000
"5797",-10.8605580000,22.0749970000
"5798",-10.3605580000,22.0749970000
"5799",-9.8605580000,22.0749970000
"5800",-9.3605580000,22.0749970000
"5801",-8.8605580000,22.0749970000
"5802",-8.3605580000,22.0749970000
"5803",-7.8605580000,22.0749970000
"5804",-7.3605580000,22.0749970000
"5805",-6.8605580000,22.0749970000
"5806",-6.3605580000,22.0749970000
"5807",-5.8605580000,22.0749970000
"5808",-5.3605580000,22.0749970000
"5809",-4.8605580000,22.0749970000
"5810",-4.3605580000,22.0749970000
"5811",-3.8605580000,22.0749970000
"5812",-3.3605580000,22.0749970000
"5813",-2.8605580000,22.0749970000
"5814",-2.3605580000,22.0749970000
"5815",-1.8605580000,22.0749970000
"5816",-1.3605580000,22.0749970000
"5817",-0.8605580000,22.0749970000
"5818",-0.3605580000,22.0749970000
"5838",9.6394420000,22.0749970000
"5839",10.1394420000,22.0749970000
"5840",10.6394420000,22.0749970000
"5841",11.1394420000,22.0749970000
"5842",11.6394420000,22.0749970000
"5843",12.1394420000,22.0749970000
"5844",12.6394420000,22.0749970000
"5845",13.1394420000,22.0749970000
"5846",13.6394420000,22.0749970000
"5847",14.1394420000,22.0749970000
"5848",14.6394420000,22.0749970000
"5849",15.1394420000,22.0749970000
"5850",15.6394420000,22.0749970000
"5851",16.1394420000,22.0749970000
"5852",16.6394420000,22.0749970000
"5853",17.1394420000,22.0749970000
"5854",17.6394420000,22.0749970000
"5855",18.1394420000,22.0749970000
"5856",18.6394420000,22.0749970000
"5999",-12.8605580000,21.5749970000
"6000",-12.3605580000,21.5749970000
"6001",-11.8605580000,21.5749970000
"6002",-11.3605580000,21.5749970000
"6003",-10.8605580000,21.5749970000
"6004",-10.3605580000,21.5749970000
"6005",-9.8605580000,21.5749970000
"6006",-9.3605580000,21.5749970000
"6007",-8.8605580000,21.5749970000
"6008",-8.3605580000,21.5749970000
"6009",-7.8605580000,21.5749970000
"6010",-7.3605580000,21.5749970000
"6011",-6.8605580000,21.5749970000
"6012",-6.3605580000,21.5749970000
"6013",-5.8605580000,21.5749970000
"6014",-5.3605580000,21.5749970000
"6015",-4.8605580000,21.5749970000
"6016",-4.3605580000,21.5749970000
"6017",-3.8605580000,21.5749970000
"6018",-3.3605580000,21.5749970000
"6019",-2.8605580000,21.5749970000
"6020",-2.3605580000,21.5749970000
"6021",-1.8605580000,21.5749970000
"6022",-1.3605580000,21.5749970000
"6023",-0.8605580000,21.5749970000
"6024",-0.3605580000,21.5749970000
"6025",0.1394420000,21.5749970000
"6043",9.1394420000,21.5749970000
