"","month","value","source","iso3","tbase","method"
"166","Apr",166.649353027344,"CDDs_worldclim (1970-2000 avg.)","GNQ",22,"UKMO"
"167","Apr",2881.4052734375,"CDDs_worldclim (1970-2000 avg.)","ERI",22,"UKMO"
"168","Apr",15310.3251953125,"CDDs_worldclim (1970-2000 avg.)","ETH",22,"UKMO"
"169","Apr",422.207458496094,"CDDs_worldclim (1970-2000 avg.)","GMB",22,"UKMO"
"170","Apr",2652.30151367188,"CDDs_worldclim (1970-2000 avg.)","GAB",22,"UKMO"
"171","Apr",6604.82763671875,"CDDs_worldclim (1970-2000 avg.)","GHA",22,"UKMO"
"172","Apr",8188.529296875,"CDDs_worldclim (1970-2000 avg.)","GIN",22,"UKMO"
"173","Apr",7025.78857421875,"CDDs_worldclim (1970-2000 avg.)","CIV",22,"UKMO"
"174","Apr",8107.3505859375,"CDDs_worldclim (1970-2000 avg.)","KEN",22,"UKMO"
"175","Apr",1482.32141113281,"CDDs_worldclim (1970-2000 avg.)","LBR",22,"UKMO"
"176","Apr",5665.76416015625,"CDDs_worldclim (1970-2000 avg.)","MDG",22,"UKMO"
"177","Apr",52977.10546875,"CDDs_worldclim (1970-2000 avg.)","MLI",22,"UKMO"
"178","Apr",35131.359375,"CDDs_worldclim (1970-2000 avg.)","MRT",22,"UKMO"
"179","Apr",0,"CDDs_worldclim (1970-2000 avg.)","MLT",22,"UKMO"
"180","Apr",6878.373046875,"CDDs_worldclim (1970-2000 avg.)","MOZ",22,"UKMO"
"181","Apr",389.556457519531,"CDDs_worldclim (1970-2000 avg.)","MWI",22,"UKMO"
"182","Apr",50457.67578125,"CDDs_worldclim (1970-2000 avg.)","NER",22,"UKMO"
"183","Apr",0,"CDDs_worldclim (1970-2000 avg.)","MYT",22,"UKMO"
"184","Apr",0,"CDDs_worldclim (1970-2000 avg.)","ATF",22,"UKMO"
"185","Apr",33732.96484375,"CDDs_worldclim (1970-2000 avg.)","NGA",22,"UKMO"
"186","Apr",1205.96740722656,"CDDs_worldclim (1970-2000 avg.)","GNB",22,"UKMO"
"187","Apr",0.542168498039246,"CDDs_worldclim (1970-2000 avg.)","RWA",22,"UKMO"
"188","Apr",0,"CDDs_worldclim (1970-2000 avg.)","SYC",22,"UKMO"
"189","Apr",1604.88671875,"CDDs_worldclim (1970-2000 avg.)","ZAF",22,"UKMO"
"190","Apr",0,"CDDs_worldclim (1970-2000 avg.)","LSO",22,"UKMO"
"191","Apr",4885.02099609375,"CDDs_worldclim (1970-2000 avg.)","BWA",22,"UKMO"
"192","Apr",8963.9541015625,"CDDs_worldclim (1970-2000 avg.)","SEN",22,"UKMO"
"193","Apr",1699.09094238281,"CDDs_worldclim (1970-2000 avg.)","SLE",22,"UKMO"
"194","Apr",14792.322265625,"CDDs_worldclim (1970-2000 avg.)","SOM",22,"UKMO"
"195","Apr",91627.8046875,"CDDs_worldclim (1970-2000 avg.)","SDN",22,"UKMO"
"196","Apr",1542.98693847656,"CDDs_worldclim (1970-2000 avg.)","TGO",22,"UKMO"
"197","Apr",0,"CDDs_worldclim (1970-2000 avg.)","STP",22,"UKMO"
"198","Apr",3509.20336914062,"CDDs_worldclim (1970-2000 avg.)","TZA",22,"UKMO"
"199","Apr",1097.91442871094,"CDDs_worldclim (1970-2000 avg.)","UGA",22,"UKMO"
"200","Apr",13958.560546875,"CDDs_worldclim (1970-2000 avg.)","BFA",22,"UKMO"
"201","Apr",4310.92578125,"CDDs_worldclim (1970-2000 avg.)","NAM",22,"UKMO"
"202","Apr",56.5423965454102,"CDDs_worldclim (1970-2000 avg.)","SWZ",22,"UKMO"
"203","Apr",3234.87426757812,"CDDs_worldclim (1970-2000 avg.)","ZMB",22,"UKMO"
"204","Apr",1656.29760742188,"CDDs_worldclim (1970-2000 avg.)","ZWE",22,"UKMO"
"205","May",5764.34912109375,"CDDs_worldclim (1970-2000 avg.)","AGO",22,"UKMO"
"206","May",0,"CDDs_worldclim (1970-2000 avg.)","BHR",22,"UKMO"
"207","May",3114.65576171875,"CDDs_worldclim (1970-2000 avg.)","BEN",22,"UKMO"
"208","May",2967.58227539062,"CDDs_worldclim (1970-2000 avg.)","COG",22,"UKMO"
"209","May",17576.4765625,"CDDs_worldclim (1970-2000 avg.)","COD",22,"UKMO"
"210","May",30.1182880401611,"CDDs_worldclim (1970-2000 avg.)","BDI",22,"UKMO"
"211","May",5300.37451171875,"CDDs_worldclim (1970-2000 avg.)","CMR",22,"UKMO"
"212","May",64665.421875,"CDDs_worldclim (1970-2000 avg.)","TCD",22,"UKMO"
"213","May",0,"CDDs_worldclim (1970-2000 avg.)","COM",22,"UKMO"
"214","May",7820.16748046875,"CDDs_worldclim (1970-2000 avg.)","CAF",22,"UKMO"
"215","May",0,"CDDs_worldclim (1970-2000 avg.)","CPV",22,"UKMO"
"216","May",916.035583496094,"CDDs_worldclim (1970-2000 avg.)","DJI",22,"UKMO"
"217","May",127.038619995117,"CDDs_worldclim (1970-2000 avg.)","GNQ",22,"UKMO"
